match_id,date,tournament,surface,best_of,round,player_a,player_b,winner,rank_a,rank_b,svpt_a,svpt_b,first_in_a,first_in_b,first_won_a,first_won_b,second_won_a,second_won_b,ace_a,ace_b,df_a,df_b,bp_saved_a,bp_saved_b,bp_faced_a,bp_faced_b
WTA:2024-9900:251,2024-01-01,United Cup,Hard,3,RR,Arantxa Rus,Malene Helgo,A,51.0,544.0,65.0,58.0,38.0,36.0,30.0,26.0,16.0,8.0,5.0,1.0,3.0,5.0,1.0,1.0,2.0,4.0
WTA:2024-9900:253,2024-01-01,United Cup,Hard,3,RR,Donna Vekic,Malene Helgo,A,24.0,544.0,98.0,110.0,58.0,69.0,44.0,43.0,17.0,18.0,6.0,0.0,5.0,2.0,7.0,5.0,10.0,9.0
WTA:2024-9900:255,2024-01-01,United Cup,Hard,3,RR,Donna Vekic,Arantxa Rus,A,24.0,51.0,70.0,70.0,49.0,48.0,38.0,30.0,9.0,9.0,5.0,2.0,6.0,4.0,3.0,1.0,5.0,6.0
WTA:2024-9900:257,2024-01-01,United Cup,Hard,3,RR,Qinwen Zheng,Olga Danilovic,A,14.0,121.0,60.0,56.0,34.0,37.0,24.0,21.0,15.0,8.0,8.0,2.0,1.0,2.0,2.0,2.0,3.0,6.0
WTA:2024-9900:259,2024-01-01,United Cup,Hard,3,RR,Olga Danilovic,Marketa Vondrousova,B,121.0,7.0,76.0,88.0,50.0,62.0,28.0,40.0,11.0,9.0,2.0,5.0,3.0,8.0,1.0,6.0,7.0,10.0
WTA:2024-9900:261,2024-01-01,United Cup,Hard,3,RR,Marketa Vondrousova,Qinwen Zheng,B,7.0,14.0,69.0,64.0,43.0,29.0,20.0,22.0,11.0,17.0,1.0,2.0,6.0,4.0,6.0,1.0,12.0,4.0
WTA:2024-9900:263,2024-01-01,United Cup,Hard,3,RR,Jasmine Paolini,Angelique Kerber,A,29.0,,72.0,95.0,48.0,75.0,27.0,39.0,12.0,8.0,3.0,0.0,0.0,2.0,6.0,15.0,10.0,21.0
WTA:2024-9900:265,2024-01-01,United Cup,Hard,3,RR,Angelique Kerber,Caroline Garcia,B,,20.0,75.0,72.0,50.0,46.0,29.0,32.0,15.0,13.0,2.0,10.0,2.0,0.0,7.0,2.0,11.0,5.0
WTA:2024-9900:267,2024-01-01,United Cup,Hard,3,RR,Caroline Garcia,Jasmine Paolini,A,20.0,29.0,95.0,88.0,57.0,57.0,41.0,37.0,17.0,19.0,11.0,3.0,5.0,1.0,0.0,3.0,4.0,8.0
WTA:2024-9900:269,2024-01-01,United Cup,Hard,3,RR,Katie Boulter,Ajla Tomljanovic,A,57.0,292.0,64.0,52.0,34.0,31.0,27.0,20.0,16.0,11.0,8.0,5.0,4.0,2.0,6.0,0.0,6.0,3.0
WTA:2024-9900:271,2024-01-01,United Cup,Hard,3,RR,Ajla Tomljanovic,Jessica Pegula,B,292.0,5.0,73.0,88.0,53.0,57.0,31.0,37.0,8.0,12.0,5.0,0.0,4.0,3.0,2.0,8.0,6.0,11.0
WTA:2024-9900:273,2024-01-01,United Cup,Hard,3,RR,Katie Boulter,Jessica Pegula,A,57.0,5.0,119.0,100.0,79.0,58.0,46.0,38.0,15.0,11.0,1.0,2.0,6.0,3.0,4.0,4.0,11.0,12.0
WTA:2024-9900:275,2024-01-01,United Cup,Hard,3,RR,Daniela Seguel,Leylah Fernandez,B,671.0,34.0,50.0,42.0,42.0,33.0,19.0,22.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0
WTA:2024-9900:277,2024-01-01,United Cup,Hard,3,RR,Daniela Seguel,Maria Sakkari,B,671.0,8.0,49.0,42.0,38.0,25.0,15.0,21.0,3.0,9.0,0.0,3.0,1.0,6.0,4.0,1.0,9.0,1.0
WTA:2024-9900:279,2024-01-01,United Cup,Hard,3,RR,Maria Sakkari,Leylah Fernandez,A,8.0,34.0,88.0,79.0,56.0,55.0,40.0,32.0,17.0,12.0,6.0,1.0,3.0,3.0,10.0,8.0,12.0,11.0
WTA:2024-9900:281,2024-01-01,United Cup,Hard,3,RR,Beatriz Haddad Maia,Sara Sorribes Tormo,A,11.0,53.0,70.0,59.0,44.0,38.0,27.0,23.0,13.0,7.0,0.0,0.0,2.0,7.0,3.0,0.0,6.0,5.0
WTA:2024-9900:283,2024-01-01,United Cup,Hard,3,RR,Iga Swiatek,Beatriz Haddad Maia,A,1.0,11.0,49.0,46.0,37.0,33.0,25.0,14.0,8.0,5.0,0.0,2.0,0.0,1.0,3.0,3.0,4.0,8.0
WTA:2024-9900:285,2024-01-01,United Cup,Hard,3,RR,Sara Sorribes Tormo,Iga Swiatek,B,53.0,1.0,51.0,49.0,40.0,30.0,20.0,22.0,2.0,13.0,0.0,2.0,2.0,0.0,6.0,4.0,10.0,4.0
WTA:2024-9900:287,2024-01-01,United Cup,Hard,3,QF,Maria Sakkari,Angelique Kerber,A,8.0,,52.0,52.0,32.0,33.0,24.0,16.0,10.0,6.0,3.0,0.0,2.0,2.0,3.0,6.0,4.0,11.0
